the_geom,OBJECTID,CNN,ST_NAME1,ST_TYPE1,CNNTEXT,ST_NAME2,ST_TYPE2,ST_NAME3,ST_TYPE3,ST_NAME4,ST_TYPE4,TOTEMP2,UNIVPROX,SIGNALIZED,PKGMETERS,MAXPCTSLPE,MODEL6_VOL,HH_PEDMODE,PCOL_04_09,PCOL_RATE,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE
POINT (-122.478272185023 37.76592162947),6471,27460000,TRANSVERSE,DR,27460000,MARTIN LUTHE,DR,,,,,1249,0,0,0,13,294893,276,0,0,,,,
POINT (-122.428867357336 37.784065349534),5420,54017000,BERTIE MINOR,LN,54017000,WESTERN SHOR,LN,,,,,3482,0,0,0,0,230825,3242,0,0,,,,
POINT (-122.408557455288 37.765727544122),4645,33040000,HAMPSHIRE,ST,33040000,16TH,ST,,,,,675,0,0,0,7,60821,418,0,0,,,,
POINT (-122.499115774115 37.755107441569),4173,27761000,MORAGA,ST,27761000,40TH,AVE,,,,,445,0,0,0,9,259640,1187,0,0,,,,
POINT (-122.383823572559 37.726175721842),1322,20121000,THOMAS,AVE,20121000,HAWES,ST,,,,,849,0,0,0,9,337617,400,0,0,,,,
POINT (-122.417836045791 37.745962212227),2902,21288000,COSO,AVE,21288000,MIRABEL,AVE,,,,,436,0,0,0,13,149421,2138,0,0,,,,
POINT (-122.431646345153 37.723172178339),810,21685000,BRAZIL,AVE,21685000,MADRID,ST,,,,,644,0,0,0,16,316232,1711,0,0,,,,
POINT (-122.412238220073 37.773289725601),7062,24234000,FOLSOM,ST,24234000,DORE,ST,,,,,3379,0,0,0,4,1507140,999,1,1.33000004,,,,
POINT (-122.407582293645 37.769518422096),6836,52110000,HWY 101 NORT,0,52110000,HWY 101 N OF,RAMP,,,,,736,0,0,0,11,1584079,1956,0,0,,,,
POINT (-122.403673891006 37.78889937585),5000,24644000,POST,ST,24644000,KEARNY,ST,,,,,24463,0,1,1,12,9810846,864,2,0.41,,,,
POINT (-122.44986800366 37.718127631549),424,22180000,CAINE,AVE,22180000,RIDGE,LN,,,,,379,0,0,0,14,47676,1171,0,0,,,,
POINT (-122.456146712643 37.72003823839),861,22576000,PLYMOUTH,AVE,22576000,GRAFTON,AVE,,,,,408,0,0,0,10,173724,1551,0,0,,,,
POINT (-122.402303097608 37.787622811632),3580,24617000,ANNIE,ST,24617000,STEVENSON,ST,,,,,18990,0,0,1,13,2489675,222,0,0,,,,
POINT (-122.47137005163 37.743244900487),4969,22992000,TARAVAL,ST,22992000,15TH,AVE,,,,,831,0,0,0,3,789490,1250,3,7.5999999,,,,
POINT (-122.489471964433 37.755545606094),4858,27682000,MORAGA,ST,27682000,31ST,AVE,,,,,536,0,0,1,6,265482,1291,0,0,,,,
POINT (-122.426263956803 37.750967329616),3054,25612000,CHATTANOOGA,ST,25612000,JERSEY,ST,,,,,1535,0,0,0,11,239573,2703,0,0,,,,
POINT (-122.468305816523 37.777043953259),6663,27293000,10TH,AVE,27293000,BALBOA,ST,,,,,622,0,0,0,5,352347,1762,1,5.67999983,,,,
POINT (-122.4222123886 37.768144626379),7529,24378000,VALENCIA,ST,24378000,14TH,ST,,,,,57829,0,1,1,3,7625671,3763,0,0,,,,
POINT (-122.464158192229 37.779095668178),4852,27275000,06TH,AVE,27275000,ANZA,ST,,,,,704,0,0,0,5,522657,2732,1,3.82999992,,,,
POINT (-122.503955042377 37.747419738191),7992,23487000,QUINTARA,ST,23487000,45TH,AVE,,,,,850,0,0,0,14,389190,1372,0,0,,,,
POINT (-122.406226576091 37.769467490599),4186,33614000,DIVISION,ST,33614000,09TH,ST,,,,,1302,0,0,0,3,1736270,1353,1,1.14999998,,,,
POINT (-122.471119489419 37.712418584771),216,33472000,JUNIPERO SER,RAMP,33472000,JUNIPERO SER,BLVD,,,,,4905,0,0,0,2,81256,1003,0,0,,,,
POINT (-122.428367280448 37.761294515946),4555,25712000,18TH,ST,25712000,CHURCH,ST,,,,,1565,0,0,0,6,637710,2721,1,3.1400001,,,,
POINT (-122.4639947846 37.722331971115),800,33423000,HEAD,ST,33423000,WALKWAY,0,,,,,496,0,0,0,14,157215,998,0,0,,,,
POINT (-122.404670305071 37.73295372468),1534,20656000,SILVER,AVE,20656000,BAY SHORE,BLVD,,,,,3718,0,1,0,2,390586,1159,6,30.719999309999999,,,,
POINT (-122.508173780655 37.777097534741),7491,27995000,47TH,AVE,27995000,ANZA,ST,,,,,5102,0,0,0,10,135842,1235,0,0,,,,
POINT (-122.425122739992 37.80415079201),6125,26705000,BAY,ST,26705000,VAN NESS,AVE,,,,,2249,0,1,1,29,1183711,1812,5,8.44999981,,,,
POINT (-122.507849527236 37.779963421873),6566,28004000,POINT LOBOS,AVE,28004000,ALTA MAR,WAY,,,,,3453,0,0,1,15,139432,834,0,0,,,,
POINT (-122.453957658639 37.789103574592),5860,26950000,WASHINGTON,ST,26950000,SPRUCE,ST,,,,,5412,0,0,0,3,101851,987,0,0,,,,
POINT (-122.442661118561 37.799004994356),7340,26974000,LOMBARD,ST,26974000,DIVISADERO,ST,,,,,413,0,1,0,9,3280138,3098,4,2.44000006,,,,
POINT (-122.408073648878 37.79120979682),7516,24981000,PINE,ST,24981000,DASHIELL HAM,ST,,,,,9875,0,1,1,5,1861186,5861,0,0,,,,
POINT (-122.382283421824 37.730624535601),1288,20127000,GEORGE,CT,20127000,INGALLS,ST,,,,,681,0,0,0,10,125690,1313,0,0,,,,
POINT (-122.438568581849 37.766302328847),5655,32924000,BUENA VISTA,TER,32924000,15TH,ST,,,,,752,0,0,1,2,190303,2533,0,0,,,,
POINT (-122.432018709246 37.721242194756),741,21715000,PERSIA,AVE,21715000,EDINBURG,ST,,,,,884,0,0,0,14,291892,1803,0,0,,,,
POINT (-122.471324083171 37.712479755171),220,33478000,JUNIPERO SER,RAMP,33478000,JUNIPERO SER,BLVD,,,,,399,0,0,0,11,170460,943,0,0,,,,
POINT (-122.412843668361 37.798079519011),7112,50207000,ALTA VISTA,TER,50207000,VALLEJO,ST,,,,,532,0,1,0,12,28536,3657,0,0,,,,
POINT (-122.408991057979 37.751205738936),3049,23955000,BRYANT,ST,23955000,25TH,ST,,,,,2585,0,0,0,6,460891,2178,1,4.34000015,,,,
POINT (-122.393935175038 37.712456304827),5387,54210000,OTTER COVE,TER,54210000,CANDLESTICK,WAY,,,,,884,0,0,1,0,424542,206,0,0,,,,
POINT (-122.422231502821 37.745583755375),2875,21351000,28TH,ST,21351000,SAN JOSE,AVE,GUERRERO,ST,,,438,0,0,0,12,1788493,2581,0,0,,,,
POINT (-122.460295054425 37.737859838495),1957,22823000,LANSDALE,AVE,22823000,CASITAS,AVE,,,,,654,0,0,0,13,135796,715,0,0,,,,
POINT (-122.468909488643 37.714261119775),4637,22544000,RANDOLPH,ST,22544000,RALSTON,ST,,,,,476,0,0,0,9,150634,1289,0,0,,,,
POINT (-122.458190734057 37.720032129065),864,22579000,MIRAMAR,AVE,22579000,GRAFTON,AVE,,,,,341,0,0,0,9,143224,1522,0,0,,,,
POINT (-122.498127082822 37.771939161582),7655,27864000,FULTON,ST,27864000,38TH,AVE,,,,,566,0,0,0,15,327032,1427,0,0,,,,
POINT (-122.401523102333 37.78827421491),3744,24621000,NEW MONTGOME,ST,24621000,STEVENSON,ST,,,,,36882,0,0,1,11,3880745,241,1,0.51999998,,,,
POINT (-122.488922958935 37.76304748015),7214,27717000,IRVING,ST,27717000,30TH,AVE,,,,,667,0,0,0,8,369691,1555,0,0,,,,
POINT (-122.450797681743 37.742734871118),2486,22410000,TERESITA,BLVD,22410000,MARIETTA,DR,,,,,345,0,0,0,15,286893,685,0,0,,,,
POINT (-122.413273035984 37.767074918543),6477,24224000,HARRISON,ST,24224000,15TH,ST,,,,,3962,0,0,1,2,442706,423,0,0,,,,
POINT (-122.39998817601 37.787015734574),3988,24599000,NEW MONTGOME,ST,24599000,MINNA,ST,,,,,42812,0,0,1,17,3309437,171,2,1.21000004,,,,
POINT (-122.468689619038 37.733152701472),4010,22930000,SAN LEANDRO,WAY,22930000,MONTEREY,BLVD,,,,,1379,0,0,1,5,234103,570,0,0,,,,
POINT (-122.469287581724 37.727082359403),1105,22778000,CEDRO,AVE,22778000,MONCADA,WAY,,,,,1322,0,0,0,11,176462,579,0,0,,,,
POINT (-122.400821808074 37.787703894084),3587,24611000,AMBROSE BIER,ST,24611000,NEW MONTGOME,ST,,,,,24475,0,0,1,13,3981023,139,0,0,,,,
POINT (-122.440786726459 37.752503203591),3381,26085000,23RD,ST,26085000,HOFFMAN,AVE,,,,,181,0,0,0,15,85981,2293,0,0,,,,
POINT (-122.468065317355 37.719670342483),838,22717000,VERNON,ST,22717000,GARFIELD,ST,,,,,631,0,0,1,7,111656,1215,0,0,,,,
POINT (-122.404561798348 37.719411274061),658,20588000,ORDWAY,ST,20588000,SOMERSET,ST,,,,,510,0,0,0,15,193561,1132,0,0,,,,
POINT (-122.405534592911 37.798369542004),5676,24844000,KEARNY,ST,24844000,DUNNES,ALY,,,,,21933,0,0,1,15,115137,5704,0,0,,,,
POINT (-122.450003720335 37.724113488782),1017,52187000,CCSF PARKING,0,52187000,WEST,0,,,,,567,1,0,0,1,280959,717,0,0,,,,
POINT (-122.501131145696 37.753158588159),3162,27766000,42ND,AVE,27766000,NORIEGA,ST,,,,,738,0,0,0,11,317400,1257,1,6.30000019,,,,
POINT (-122.451615893165 37.721088569716),951,22212000,WILLIAR,AVE,22212000,NIAGARA,AVE,,,,,407,1,0,0,29,225255,1041,0,0,,,,
POINT (-122.371647163108 37.73344097445),1530,51696000,ARELIOUS WAL,DR,51696000,FITCH,ST,EVANS,AVE,,,356,0,0,0,19,192574,93,0,0,,,,
POINT (-122.450131439885 37.722087733006),778,22190000,GENEVA,AVE,22190000,HOWTH,ST,,,,,419,1,0,0,11,308292,693,1,6.48999977,,,,
POINT (-122.419838448306 37.766678544627),6307,24171000,15TH,ST,24171000,MISSION,ST,,,,,13965,0,1,0,4,7302508,3040,3,0.81999999,,,,
POINT (-122.439427068195 37.761429507438),3775,25829000,DOUGLASS,ST,25829000,MARKET,ST,,,,,2768,0,0,0,6,606880,2462,0,0,,,,
POINT (-122.39944634346 37.773578401608),7426,23855000,06TH,ST,23855000,TOWNSEND,ST,,,,,1337,0,0,0,5,496819,1216,0,0,,,,
POINT (-122.421243198141 37.793262813297),5117,25303000,POLK,ST,25303000,WASHINGTON,ST,,,,,2850,0,1,1,6,7690343,5552,0,0,,,,
POINT (-122.403724967332 37.784049384224),5194,24631000,04TH,ST,24631000,MINNA,ST,,,,,27681,0,1,1,7,7853115,1126,1,0.25,,,,
POINT (-122.416588883679 37.773911196918),7435,24363000,11TH,ST,24363000,MINNA,ST,,,,,13148,0,0,0,6,1968341,1156,0,0,,,,
POINT (-122.42671281845 37.795321216722),7029,26568000,BROADWAY,0,26568000,GOUGH,ST,,,,,4318,0,1,0,6,1037943,4704,0,0,,,,
POINT (-122.499072198548 37.731581005513),4280,33519000,LAKE MERCED,BLVD,33519000,SKYLINE,BLVD,ZOO,RD,,,579,0,0,0,35,966875,521,0,0,,,,
POINT (-122.451008680825 37.791214849177),7760,33544000,PACIFIC,AVE,33544000,LAUREL,ST,,,,,245,0,0,0,9,172931,448,0,0,,,,
POINT (-122.428680181358 37.728539372761),1209,33332000,LISBON,ST,33332000,SILVER,AVE,,,,,617,0,0,0,10,265669,1235,1,7.53000021,,,,
POINT (-122.488009303385 37.749995017418),3059,23399000,PACHECO,ST,23399000,30TH,AVE,,,,,250,0,0,0,5,177937,1176,0,0,,,,
POINT (-122.486529057336 37.72980675418),1626,23135000,MIDDLEFIELD,DR,23135000,GELLERT,DR,,,,,656,1,0,0,8,520583,432,0,0,,,,
POINT (-122.399922540995 37.735290861552),1808,20740000,ROBBLEE,AVE,20740000,THOMAS,AVE,,,,,542,0,0,0,21,124773,1281,0,0,,,,
POINT (-122.489604553491 37.757405366786),7169,27684000,LAWTON,ST,27684000,31ST,AVE,,,,,592,0,0,0,4,298115,1417,0,0,,,,
POINT (-122.389742852885 37.752725686042),2987,23543000,MINNESOTA,ST,23543000,25TH,ST,,,,,1160,0,0,0,13,124741,83,0,0,,,,
POINT (-122.388864493165 37.764326780875),7190,23572000,03RD,ST,23572000,MARIPOSA,ST,,,,,1333,1,1,0,13,1942018,207,0,0,,,,
POINT (-122.41450765135 37.769540721022),4207,33029000,TRAINOR,ST,33029000,13TH,ST,,,,,790,0,0,0,14,420854,535,0,0,,,,
POINT (-122.459175140867 37.771319207516),6001,27188000,MIDDLE EAST,DR,27188000,JOHN F KENNE,DR,,,,,1919,0,0,1,1,327972,434,0,0,,,,
POINT (-122.464226738304 37.725190278468),1342,22705000,VICTORIA,ST,22705000,URBANO,DR,,,,,543,0,0,0,9,250660,965,0,0,,,,
POINT (-122.41254441769 37.787771753111),3719,30053000,SHANNON,ST,30053000,POST,ST,,,,,1083,0,1,0,13,888032,1192,0,0,,,,
POINT (-122.460977877149 37.798720521528),7404,51255000,MORAGA,AVE,51255000,UNNAMED 145,0,,,,,22,0,0,0,11,160826,37,0,0,,,,
POINT (-122.394173298657 37.730931873159),1591,20522000,THORNTON,AVE,20522000,CERES,ST,,,,,643,0,0,0,15,264377,1189,0,0,,,,
POINT (-122.469889986225 37.721648379404),763,22736000,HOLLOWAY,AVE,22736000,BYXBEE,ST,,,,,693,0,0,0,22,300222,961,0,0,,,,
POINT (-122.484339165658 37.774441602381),3695,27520000,CABRILLO,ST,27520000,25TH,AVE,,,,,681,0,1,0,8,820511,1121,1,2.44000006,,,,
POINT (-122.392994219652 37.762797495663),5313,52250000,I-280 S OFF,RAMP,52250000,18TH,ST,,,,,30641,0,0,0,3,14870,770,0,0,,,,
POINT (-122.407386954405 37.793227668212),5102,24992000,BROOKLYN,PL,24992000,SACRAMENTO,ST,,,,,7773,0,0,1,9,2953730,6539,0,0,,,,
POINT (-122.44405015785 37.764602671837),4097,26209000,ASHBURY,TER,26209000,UPPER,TER,,,,,1723,0,0,0,5,238970,2268,0,0,,,,
POINT (-122.408799322516 37.790164447334),6666,24976000,BUSH,ST,24976000,POWELL,ST,,,,,6476,0,0,1,5,5041566,4638,3,1.19000006,,,,
POINT (-122.484642035727 37.724895023509),1345,33705000,STATE,DR,33705000,LAKE MERCED,BLVD,,,,,2526,1,0,0,4,2279524,1175,0,0,,,,
POINT (-122.407300447484 37.79323858259),5103,24993000,SACRAMENTO,ST,24993000,PAGODA,PL,,,,,8755,0,0,0,9,2181063,6330,0,0,,,,
POINT (-122.467004232503 37.739728437348),2170,22927000,VICENTE,ST,22927000,WEST PORTAL,AVE,,,,,1103,0,1,0,5,2152106,846,3,2.78999996,,,,
POINT (-122.509282306851 37.762147858235),6393,27961000,IRVING,ST,27961000,LA PLAYA,0,,,,,8052,0,0,0,2,434285,1444,0,0,,,,
POINT (-122.406624964754 37.799807581959),7361,25327000,VARENNES,ST,25327000,GREEN,ST,,,,,4012,0,0,1,2,1266467,6209,0,0,,,,
POINT (-122.444835260583 37.759413506694),5248,33567000,19TH,ST,33567000,MARKET,ST,,,,,162,0,0,0,9,205321,2476,0,0,,,,
POINT (-122.381998565572 37.753175010407),4517,33061000,25TH,ST,33061000,DELAWARE,ST,,,,,1742,0,0,0,30,51355,1,0,0,,,,
POINT (-122.506834487049 37.773411948908),4087,27974000,46TH,AVE,27974000,CABRILLO,ST,,,,,19471,0,0,0,8,249814,958,0,0,,,,
POINT (-122.446792281246 37.714260590595),202,21525000,HURON,AVE,21525000,FOOTE,AVE,,,,,572,0,0,0,10,248418,1439,0,0,,,,
POINT (-122.463290715324 37.749991474432),4338,33588000,PACHECO,ST,33588000,UNNAMED 034,0,,,,,1515,0,0,0,2,37166,835,0,0,,,,
POINT (-122.477245371452 37.731122818189),1415,23086000,EUCALYPTUS,DR,23086000,22ND,AVE,,,,,723,0,0,1,3,304757,394,0,0,,,,
POINT (-122.402737330489 37.790930029478),5769,24717000,TRINITY,ST,24717000,BUSH,ST,,,,,15304,0,0,1,4,2345572,924,0,0,,,,
POINT (-122.466233275894 37.716117441953),599,22694000,SARGENT,ST,22694000,RAMSELL,ST,,,,,541,0,0,0,12,105044,1387,0,0,,,,
POINT (-122.386412110931 37.73898799459),1945,20215000,HUDSON,AVE,20215000,MENDELL,ST,,,,,417,0,0,0,8,139569,746,0,0,,,,
POINT (-122.462225719746 37.725270644658),1346,22661000,OCEAN,AVE,22661000,ASHTON,AVE,,,,,702,1,1,0,8,2770585,1109,2,1.44000006,,,,
POINT (-122.437058787981 37.804364068352),7780,26786000,BEACH,ST,26786000,FILLMORE,ST,,,,,2996,0,0,0,9,488927,3006,0,0,,,,
POINT (-122.460495568097 37.710327018771),13,22480000,CRYSTAL,ST,22480000,ALEMANY,BLVD,PALMETTO,AVE,,,333,0,0,0,8,204058,862,0,0,,,,
POINT (-122.487721385483 37.761233506441),5312,27432000,29TH,AVE,27432000,JUDAH,ST,,,,,901,0,0,0,15,384607,1746,0,0,,,,
POINT (-122.494388913839 37.733793350484),1815,32894000,SUNSET BLVD,RAMP,32894000,SLOAT,BLVD,,,,,12319,0,0,0,3,40367,767,0,0,,,,
POINT (-122.443751910878 37.760862987228),3917,26173000,MERRITT,ST,26173000,DANVERS,ST,,,,,1382,0,0,0,10,129560,2522,0,0,,,,
POINT (-122.398353989087 37.751059549791),3018,23686000,26TH,ST,23686000,WISCONSIN,ST,,,,,11667,0,0,0,1,141574,853,0,0,,,,
POINT (-122.387188821511 37.735666551686),1828,20198000,CASHMERE,ST,20198000,LA SALLE,AVE,,,,,438,0,0,0,4,137239,1244,0,0,,,,
POINT (-122.408288277491 37.775510353698),3681,24259000,BRUSH,PL,24259000,HALLAM,ST,,,,,7944,0,0,0,3,387604,1174,0,0,,,,
POINT (-122.404999461936 37.803837617937),6090,24876000,LOMBARD,ST,24876000,MONTGOMERY,ST,,,,,13888,0,0,1,8,1493,2572,0,0,,,,
POINT (-122.46285513268 37.760457194392),3911,27077000,KIRKHAM,ST,27077000,06TH,AVE,,,,,2312,1,0,0,11,389150,1579,0,0,,,,
POINT (-122.417040414939 37.740471664911),2306,21224000,WOOL,ST,21224000,EUGENIA,AVE,,,,,107,0,0,0,8,128671,1948,0,0,,,,
POINT (-122.381961761305 37.731534079322),1627,20132000,LA SALLE,AVE,20132000,OSCEOLA,LN,,,,,687,0,0,0,21,137913,1330,0,0,,,,
POINT (-122.473197564966 37.800164883585),3482,51354000,UPTON,AVE,51354000,WOOL,CT,,,,,22,0,0,0,1,143555,15,0,0,,,,
POINT (-122.403509816726 37.748998763876),2811,52253000,HWY 101 S OF,RAMP,52253000,BAY SHORE,BLVD,,,,,1430,0,0,0,1,225105,747,0,0,,,,
POINT (-122.445469794544 37.752581390137),3304,32973000,VISTA,LN,32973000,GARDENSIDE,DR,,,,,1101,0,0,0,11,19416,1920,0,0,,,,
POINT (-122.429619663817 37.78468656625),6253,54015000,BUCHANAN,ST,54015000,GEARY,BLVD,,,,,3742,0,0,0,0,1478005,3333,0,0,,,,
POINT (-122.452139152991 37.756663593927),4901,51731000,PALO ALTO,AVE,51731000,LA AVANZADA,0,,,,,1479,0,0,0,10,109818,623,0,0,,,,
POINT (-122.437972332176 37.757495659577),5951,25781000,EUREKA,ST,25781000,20TH,ST,,,,,3429,0,0,0,8,167621,2307,0,0,,,,
POINT (-122.454812269007 37.796481114259),4686,51249000,PORTOLA,ST,51249000,MORTON,ST,,,,,467,0,0,0,8,134044,116,0,0,,,,
POINT (-122.407552181057 37.731851668814),1471,20899000,BRUSSELS,ST,20899000,SILVER,AVE,,,,,431,0,0,0,28,345946,1194,2,11.56000042,,,,
POINT (-122.369765269318 37.732372393205),4000,51842000,EVANS,AVE,51842000,EARL,ST,,,,,1959,0,0,0,11,51290,57,0,0,,,,
POINT (-122.432376475841 37.727721754077),1111,21767000,THERESA,ST,21767000,MISSION,ST,,,,,870,0,1,0,7,3392563,1376,0,0,,,,
POINT (-122.397951786079 37.790057614831),5865,24530000,ELIM,ALY,24530000,01ST,ST,,,,,80305,0,0,1,3,7847069,52,0,0,,,,
POINT (-122.437150924155 37.796884285641),4692,26682000,UNION,ST,26682000,STEINER,ST,,,,,2863,0,0,0,7,915382,2213,1,2.18000007,,,,
POINT (-122.410613758297 37.802179680768),3867,25396000,BRANT,ALY,25396000,GREENWICH,ST,,,,,1747,0,0,0,12,827150,4341,0,0,,,,
POINT (-122.433012814601 37.793124352269),6602,26652000,BROMLEY,PL,26652000,WEBSTER,ST,,,,,853,0,0,0,2,457999,3650,0,0,,,,
POINT (-122.420370833457 37.746496986955),2843,21341000,TIFFANY,AVE,21341000,DUNCAN,ST,,,,,776,0,0,1,12,1483766,2585,0,0,,,,
POINT (-122.469699874007 37.734791329383),2070,22935000,SAINT FRANCI,BLVD,22935000,SAN FERNANDO,WAY,,,,,1078,0,0,0,4,237554,615,0,0,,,,
POINT (-122.42067801406 37.75210858841),3125,24101000,24TH,ST,24101000,VALENCIA,ST,,,,,6640,0,1,0,2,5420575,3207,2,0.74000001,,,,
POINT (-122.465312935764 37.714291912293),475,22520000,VICTORIA,ST,22520000,RANDOLPH,ST,,,,,647,0,0,0,5,135109,1209,0,0,,,,
POINT (-122.370725065266 37.728194064164),938,33121000,JERROLD,AVE,33121000,DONAHUE,ST,,,,,249,0,0,0,6,108577,566,0,0,,,,
POINT (-122.42841349419 37.803732075227),6104,26725000,GOUGH,ST,26725000,BAY,ST,,,,,2008,0,0,0,9,623327,3306,0,0,,,,
POINT (-122.393658761131 37.730859098908),4237,20527000,THORNTON,AVE,20527000,POMONA,ST,,,,,861,0,0,0,7,264667,1194,0,0,,,,
POINT (-122.477166816641 37.748603047675),3014,23206000,20TH,AVE,23206000,QUINTARA,ST,,,,,598,0,0,0,4,290342,1247,0,0,,,,
POINT (-122.451959938219 37.805851415449),6337,54198000,ZANOWITZ,AVE,54198000,MARINE,DR,,,,,801,0,0,0,0,410551,32,0,0,,,,
POINT (-122.451806906058 37.795457178999),7859,51543000,CLARKE,ST,51543000,LIGGETT,AVE,,,,,5,0,0,0,2,142025,966,0,0,,,,
POINT (-122.418239797178 37.778494061559),7488,24437000,POLK,ST,24437000,DR CARLTON B,PL,GROVE,ST,,,10924,0,1,1,3,7474130,1573,2,0.54000002,,,,
POINT (-122.442400341977 37.75482077799),3280,26104000,CORBETT,AVE,26104000,MORGAN,ALY,,,,,147,0,0,0,13,40309,2298,0,0,,,,
POINT (-122.389251931118 37.768829038898),6589,34162000,SOUTH,ST,34162000,03RD,ST,,,,,544,1,0,1,18,697555,0,0,0,,,,
POINT (-122.473240445301 37.734592928482),2050,23145000,SLOAT,BLVD,23145000,LAGUNITAS,DR,,,,,1059,0,0,0,7,282461,543,0,0,,,,
